SITE_GUBUN,REVIEW_DOC_NO,ANAL_CODE,REVIEW
1,RVD-211120-0004037,ANAL-211104-0163,첫번째 배송된 제품 앞면 상단이 살짝 찌그러져서 교환두번째 배송된 제품은 윗면 모서리가 살짝 찌그러져서 왔지만 귀잖아서 그냥 사용합니다제품 모양은 사진 그대로라 만족 20리터 쓰레기봉투가 약간 작은 느낌입니다
1,RVD-211120-0004042,ANAL-211104-0163,배송문제였는지 찌그러져서 왔고20L봉투를 자주 사용해서산건데 봉투가 안들어가요디자인은 예쁜데 사용하기는 불편할거같아요 
1,RVD-211120-0004043,ANAL-211104-0163,최악이에요처음받고보니 박스는 터지고 너덜거리고 쓰레기통 뚜껑은 호일인지 찌그러져있어서 교환받았는데 똑같이요  주먹으로 펴봐도 찌글해요 귀찮아서 그냥 씁니다
1,RVD-211120-0004044,ANAL-211104-0163,고장이 빠르게 났어요 패달이 부실함 두달쓰고 뚜껑 패달이 고장나서 버렸어요  디자인은 괜찮음
1,RVD-211120-0004047,ANAL-211104-0163,꼭사셈커서 너무 좋아요재활용쓰레기통으로 쓰고잇어요넉넉해서 많이 담을 수 잇네요색감이 예뻐서 집에 잘 어울려요
1,RVD-211120-0004049,ANAL-211104-0163,깔끔하고사이즈도적당해서너무좋아요하얀색이라 깔끔해서 집 안에 두기 좋고 크기도 딱 생각하던 사이즈라 좋네요 특히 뚜껑이 쾅쾅 안 닫히고 느리게 닫히는 기능이 제일 마음에 드네요잘 사용하겠습니다
1,RVD-211123-0004045,ANAL-211104-0163,강추입니다열고 닫기가 편리하고 쓰레기 비우기도 편리하네요그리고 뚜껑도 천천히 닫혀서 소음이 발생하지 않아서 좋습니다디자인도 너무 마음에들고 크기도 너무 마음에 듭니다
1,RVD-211123-0004048,ANAL-211104-0163,인테리어소품같아요요즘 깔끔한 쓰레기통을 찾고 있었는데 딱 제가 원하는 스타일이네요화이트와 블랙의 깔끔한 색상에 무광제품이라서 집안에 두니 인테리어 소품처럼 보이는 효과가 있어요 댐퍼를 누르면 쓰레기통 뚜껑이 부드럽게 열리고 닫히는 것도 마음에 듭니다실용적이면서도 인테리어 효과까지 있어서 가성비가 좋은 제품이에요친척들이 놀러왔다가 쓰레기통이 예쁘다고 어디서 샀는지 물어봐서 괜히 기분이 좋았네요 여러가지면에서 만족합니다
1,RVD-211123-0215979,ANAL-211104-0163,예쁩니다쓰레기통없이 종량제 봉투에 그냥 담다가 하나 사봤어요예쁘고 심플해요 제가 찾던 디자인이예요크기도 20리터 종량제 봉투가 들어가면 딱 맞아요흔히 마트에서 받아오는 봉투크기라 실용적이고 은근히 크기 때문에 넉넉잘 쓰고있어요안도 깔끔하고 내통을 꺼낼수 있게 손잡이도 있어서 편리하네요발로 누르면 열려서 편해요아기 기저귀도 있어서 냄새도 잘 안빠져나오면 좋은데 냄새도 잘 잡아줘요굿굿
1,RVD-211123-0215980,ANAL-211104-0163,20리터 쓰레기통 그 어떤걸 사도 20리터 쓰레기봉투 입구가 맞는 쓰레기통은 없는것 같아요그냥 반쯤만 걸쳐놓고 사는거죠 뭐디자인도 너무 깔끔하고 재질도 고급스러워서 너무 맘에들어요페달형인것도 마음에 들고요 
1,RVD-211123-0215989,ANAL-211104-0163,20리터 쓰레기봉투 라고 표기되어있는데사각형이다보니 겨우겨우 끝에 맞춰서 끼우는 수준입니다 12369시 방향 전부 유격생깁니다
1,RVD-211123-0427907,ANAL-211104-0163,한가지문제가디자인색상크기 다괜찮은데 한가지문제가 있네요발판이 부실한건지 휴지통자체가 너무 가벼운건지 발판을 누를때마다 휴지통이 휘청거려요 기존꺼를 버려서 어쩔수없이 쓰긴하는데너무 불편하네요 
1,RVD-211123-0427908,ANAL-211104-0163,100점중80점박스 뾱뾱이 대충 해서 박스채로 배송하니 찌그러지고 칠 깨져있고디자인은 만족합니다 뚜껑도 천천히 닫혀서 좋네요
1,RVD-211123-0427915,ANAL-211104-0163,깔끔한페달쓰레기통추천합니다20리터 종량제 사이즈입니다제일 맘에 드는 부분은 다른 쓰레기통 같은 경우 페달을 계속 밟고 있어야 뚜껑이 열려있는데디자인도 깔끔하고 얼룩도 물티슈로 간단히 닦아낼 수 있네요실용성과 디자인 모두 추천합니다
1,RVD-211123-0427920,ANAL-211104-0163,빠른배송 감사합니다 잘쓸께요번창하세요
